Customer_ID,Age,Annual_Income,Credit_Limit,Balance,Purchases,Payment_Ratio,Late_Payments,Utilization,Risk_Level
53,67,1360568,581389,354566,503276,0.9,9,0.61,High Risk
54,27,1903914,187860,81271,660530,0.31,9,0.43,High Risk
55,64,586246,237311,23858,72853,0.51,5,0.1,Low Risk
56,28,876678,797140,310190,186936,0.85,7,0.39,High Risk
57,67,329244,350102,91353,103261,0.98,4,0.26,Low Risk
58,55,1406267,639651,65360,129745,0.87,4,0.1,Low Risk
59,34,701145,85097,92380,159484,0.34,6,1.09,High Risk
60,37,273640,154752,29831,48315,0.52,5,0.19,Low Risk
61,56,1911274,920213,809328,460115,0.53,3,0.88,Medium Risk
62,60,1577424,948649,1059619,356043,0.52,3,1.12,High Risk
63,24,1640231,543372,130291,204732,0.67,0,0.24,Low Risk
64,22,1722515,394322,143745,485776,0.93,0,0.36,Low Risk
65,26,1567220,385014,138043,124199,0.7,2,0.36,Low Risk
66,62,659699,990720,192919,99941,0.77,7,0.19,High Risk
67,24,1215968,309341,340489,178939,0.37,6,1.1,High Risk
68,49,1736463,656739,679044,617893,0.5,5,1.03,High Risk
69,38,1390971,280841,145710,552846,0.33,6,0.52,High Risk
70,46,1984022,165115,156263,239712,0.64,8,0.95,High Risk
71,64,530307,312280,206215,135033,0.95,4,0.66,Medium Risk
72,54,1723560,89614,75902,593213,0.32,0,0.85,Medium Risk
73,30,1901055,61769,53001,240124,0.55,5,0.86,Medium Risk
74,56,1005351,704781,671551,379154,0.36,1,0.95,High Risk
75,34,1922592,712789,776297,444878,0.96,5,1.09,High Risk
76,51,973511,554257,536520,385180,0.71,2,0.97,High Risk
77,68,1040388,463285,406386,340912,0.82,9,0.88,High Risk
78,35,740832,111544,87472,175846,0.97,2,0.78,Medium Risk
79,28,1299512,881786,290985,237288,0.52,2,0.33,Low Risk
80,34,1963224,884367,363873,645584,0.47,1,0.41,Low Risk
81,43,419590,996272,182212,110287,0.81,7,0.18,High Risk
82,60,1530286,812667,311702,348130,0.53,4,0.38,Low Risk
83,41,1771898,596820,416780,174441,0.55,5,0.7,Medium Risk
84,36,1787744,171996,197631,477778,0.79,1,1.15,High Risk
85,65,1170280,706759,169259,306396,0.78,2,0.24,Low Risk
86,38,343008,135646,79634,74261,0.74,6,0.59,High Risk
87,67,1082716,871759,807182,137428,0.71,4,0.93,High Risk
88,44,736486,208582,202954,111940,0.41,5,0.97,High Risk
89,46,1256952,570185,176852,177123,0.83,4,0.31,Low Risk
90,45,267432,620273,183687,48194,0.53,0,0.3,Low Risk
91,65,571935,136199,105114,111065,0.46,0,0.77,Medium Risk
92,61,628388,133144,147184,71404,0.71,9,1.11,High Risk
93,49,1464107,91305,89916,348754,0.43,9,0.98,High Risk
94,35,1658908,296813,155188,517301,0.76,6,0.52,High Risk
95,65,787583,358023,295082,96305,0.82,2,0.82,Medium Risk
96,21,1651605,242635,92278,645532,0.74,2,0.38,Low Risk
97,45,954241,107813,66727,108592,0.6,0,0.62,Medium Risk
98,27,1824177,102120,70363,559784,0.42,7,0.69,High Risk
99,29,1355449,524599,420473,389471,0.75,0,0.8,Medium Risk
100,44,482376,154771,83637,43345,0.43,4,0.54,Low Risk
101,21,1462876,901580,121906,529919,0.71,4,0.14,Low Risk
102,64,1719712,424574,475888,389559,0.53,9,1.12,High Risk
103,28,495753,908395,1046348,45921,0.76,2,1.15,High Risk
104,44,1103291,452421,387132,160724,0.91,1,0.86,Medium Risk
105,31,1699291,685721,269492,268019,0.6,9,0.39,High Risk
106,37,1549741,889752,671065,198998,0.64,1,0.75,Medium Risk
107,28,1817972,651338,262954,454457,0.58,9,0.4,High Risk
108,55,1640941,242511,210673,344549,0.71,8,0.87,High Risk
109,55,947174,579534,287630,121700,0.63,1,0.5,Low Risk
110,53,931723,457331,326164,242129,0.36,6,0.71,High Risk
111,25,1333881,485072,79959,446844,0.34,6,0.16,High Risk
112,62,729109,478253,571900,256764,0.88,2,1.2,High Risk
113,59,1106933,418970,347059,230416,0.93,0,0.83,Medium Risk
114,61,1397445,932840,1057884,534758,0.86,1,1.13,High Risk
115,48,265580,819354,752988,30390,0.39,6,0.92,High Risk
116,27,1212647,72824,52292,238871,0.97,2,0.72,Medium Risk
117,29,611286,787860,717018,135577,0.75,1,0.91,High Risk
118,28,1799609,278058,171346,358620,0.45,3,0.62,Medium Risk
119,32,337697,264486,305540,45500,0.39,8,1.16,High Risk
120,54,817641,178056,169467,244101,0.83,1,0.95,High Risk
121,53,874469,127300,29679,70423,0.5,2,0.23,Low Risk
122,68,1929935,77650,88965,497727,0.7,6,1.15,High Risk
123,43,1158281,198359,145465,298749,0.47,2,0.73,Medium Risk
124,44,1514734,850559,506520,183802,0.35,5,0.6,Medium Risk
125,57,1287124,810378,787208,156911,0.59,5,0.97,High Risk
126,55,1449779,559808,196800,490370,0.82,5,0.35,Low Risk
127,64,765321,806515,930735,234716,0.81,5,1.15,High Risk
128,60,1169674,894470,253107,252159,0.43,7,0.28,High Risk
129,42,529240,589214,250563,101551,0.48,5,0.43,Low Risk
130,47,782523,744092,802089,256306,0.6,9,1.08,High Risk
131,55,801148,436525,335760,278196,0.85,6,0.77,High Risk
132,21,819573,484344,503704,240408,0.78,9,1.04,High Risk
133,55,1274398,290713,92815,124762,0.81,3,0.32,Low Risk
134,57,1719322,378250,372259,296984,0.56,3,0.98,High Risk
135,67,1855256,851953,252373,156064,0.9,4,0.3,Low Risk
136,34,844411,356717,327303,263301,0.88,8,0.92,High Risk
137,23,234985,420776,113609,43862,0.42,0,0.27,Low Risk
138,21,749564,862349,411573,65943,0.56,2,0.48,Low Risk
139,25,1684831,578453,360856,533197,0.82,9,0.62,High Risk
140,46,1461620,179846,199757,322701,0.73,2,1.11,High Risk
141,34,1906923,221507,200442,479158,0.83,7,0.9,High Risk
142,59,1519050,186036,76262,109387,0.75,3,0.41,Low Risk
143,47,881333,156448,92475,177799,0.56,8,0.59,High Risk
144,29,1706350,249267,120905,204710,0.43,5,0.49,Low Risk
145,35,1136025,59191,67113,274163,0.66,3,1.13,High Risk
146,35,1478779,709551,207253,384467,0.56,4,0.29,Low Risk
147,46,1062243,92358,102263,233311,0.41,7,1.11,High Risk
148,62,772407,349360,353079,83827,0.58,5,1.01,High Risk
149,33,709152,472902,114234,260894,0.71,1,0.24,Low Risk
150,52,950121,250213,100199,256001,0.8,6,0.4,High Risk
151,59,1024035,732851,645982,152296,0.45,3,0.88,Medium Risk
152,69,753228,595361,522736,214279,0.86,9,0.88,High Risk
153,52,732665,901163,321765,234096,0.53,2,0.36,Low Risk
154,24,1186482,361692,288256,303563,0.48,9,0.8,High Risk
155,50,524452,51489,44085,78698,0.53,9,0.86,High Risk
156,57,404010,686694,123068,137696,0.82,1,0.18,Low Risk
157,43,498105,828210,429880,49374,0.75,5,0.52,Low Risk
158,59,1782468,713441,782530,621789,0.66,8,1.1,High Risk
159,65,248029,204697,223232,15863,0.57,8,1.09,High Risk
160,35,344849,621890,514935,96371,0.86,8,0.83,High Risk
161,63,1824932,584521,478117,657980,0.36,5,0.82,Medium Risk
162,49,925433,126865,132060,211278,0.41,7,1.04,High Risk
163,56,1965414,817245,389311,623739,0.34,3,0.48,Low Risk
164,33,1960139,286959,44370,555378,0.54,3,0.15,Low Risk
165,52,1411553,415050,427923,186762,0.84,8,1.03,High Risk
166,27,312236,972525,431220,78584,0.99,6,0.44,High Risk
167,42,1352525,74722,62768,202273,0.92,5,0.84,Medium Risk
168,48,1383909,393876,250894,545441,0.5,6,0.64,High Risk
169,22,1152207,769609,199528,391878,0.77,3,0.26,Low Risk
170,62,1174697,95945,53751,416970,0.53,4,0.56,Low Risk
171,65,1209084,825497,320924,473318,0.45,0,0.39,Low Risk
172,26,1810170,783828,85507,148289,0.33,2,0.11,Low Risk
173,48,1580682,393245,265955,216410,0.52,8,0.68,High Risk
174,48,524576,547574,394508,136987,0.46,9,0.72,High Risk
175,64,1118862,263674,115102,56793,0.37,7,0.44,High Risk
176,64,541103,989410,419123,54782,1.0,0,0.42,Low Risk
177,40,1807401,877722,519321,357481,0.32,1,0.59,Low Risk
178,50,227337,441650,344258,69886,0.77,9,0.78,High Risk
179,31,587906,976886,1138453,204566,0.7,7,1.17,High Risk
180,48,853450,954173,596875,228068,0.51,6,0.63,High Risk
181,45,459850,119477,134643,42737,0.77,7,1.13,High Risk
182,59,525391,762661,894183,46159,0.7,4,1.17,High Risk
183,53,639709,179523,138070,140975,0.67,9,0.77,High Risk
184,21,1528296,333450,238980,481426,0.97,6,0.72,High Risk
185,47,1808448,341564,56795,148063,0.66,3,0.17,Low Risk
186,33,1342309,826941,285730,174049,0.87,9,0.35,High Risk
187,61,1606700,367533,440295,301408,0.67,1,1.2,High Risk
188,23,1466785,524291,482716,387681,0.9,6,0.92,High Risk
189,59,1073595,236717,197605,330365,0.47,3,0.83,Medium Risk
190,26,1158689,416513,301274,274154,0.79,2,0.72,Medium Risk
191,28,406778,164890,140336,79069,0.4,9,0.85,High Risk
192,47,927651,873509,741461,58013,0.69,7,0.85,High Risk
193,29,943747,264281,90832,147401,0.94,6,0.34,High Risk
194,57,629961,254906,245535,115335,0.33,0,0.96,High Risk
195,53,1671504,472738,289223,138381,0.47,8,0.61,High Risk
196,62,461199,810181,706250,97194,0.99,2,0.87,Medium Risk
197,64,1610907,125022,60294,429009,0.97,8,0.48,High Risk
198,44,1835783,745611,548153,540977,0.43,0,0.74,Medium Risk
199,35,1249116,89970,81753,266466,0.54,5,0.91,High Risk
200,52,1257413,896370,692851,116785,0.99,1,0.77,Medium Risk
201,52,1499421,845648,673710,367390,0.73,4,0.8,Medium Risk
202,44,1925121,990590,300895,200714,0.47,4,0.3,Low Risk
203,61,1351606,846606,555784,194163,0.76,0,0.66,Medium Risk
204,69,1051321,169918,68266,101614,0.69,3,0.4,Low Risk
205,69,878766,526404,267007,70886,0.78,9,0.51,High Risk
206,32,1297630,903265,887016,140955,0.67,0,0.98,High Risk
207,59,1430488,148619,22653,275012,0.97,5,0.15,Low Risk
208,22,471190,456161,174801,96502,0.98,8,0.38,High Risk
209,23,1746730,636046,615751,472013,0.5,3,0.97,High Risk
210,69,1740500,468344,482854,153502,0.68,8,1.03,High Risk
211,57,1563215,527905,176461,252090,0.54,8,0.33,High Risk
212,69,1551299,985889,277813,492497,0.32,6,0.28,High Risk
213,37,960682,340085,333009,344549,0.38,2,0.98,High Risk
214,69,259821,927817,824908,67894,0.67,0,0.89,Medium Risk
215,22,945991,942570,678197,330728,0.59,5,0.72,Medium Risk
216,22,1082309,186880,112839,203204,0.79,9,0.6,High Risk
217,48,800956,270471,287458,68370,0.6,3,1.06,High Risk
218,43,1938111,63276,25770,557688,0.32,3,0.41,Low Risk
219,57,1781876,896512,728236,553609,0.57,4,0.81,Medium Risk
220,52,731318,318712,357915,64825,0.33,8,1.12,High Risk
221,53,1370623,884259,255670,128591,0.79,1,0.29,Low Risk
222,21,1227674,978955,305955,62171,0.69,7,0.31,High Risk
223,39,417522,807630,186263,112764,0.9,2,0.23,Low Risk
224,22,953635,267442,105301,165388,0.87,1,0.39,Low Risk
225,64,867387,574886,417216,173265,0.75,2,0.73,Medium Risk
226,46,1760547,225819,104396,126961,0.91,4,0.46,Low Risk
227,52,1451390,108813,77828,75770,0.33,6,0.72,High Risk
228,26,1341975,404932,255639,241183,0.39,5,0.63,Medium Risk
229,52,480709,817714,559340,138742,0.33,7,0.68,High Risk
230,24,1146794,937357,1075257,64563,0.47,0,1.15,High Risk
231,31,1612256,398771,130664,89394,0.54,9,0.33,High Risk
232,37,1100353,698873,585470,96378,0.64,1,0.84,Medium Risk
233,58,1666792,119493,74367,632987,0.42,2,0.62,Medium Risk
234,44,643919,509931,432166,208637,0.87,5,0.85,Medium Risk
235,25,1937061,794484,602188,278146,0.43,5,0.76,Medium Risk
236,54,866998,714339,665722,74521,0.71,2,0.93,High Risk
237,26,1201018,169330,116351,100965,0.69,3,0.69,Medium Risk
238,42,1958216,407813,355591,334476,0.65,5,0.87,Medium Risk
239,31,553266,770198,699961,55465,0.96,4,0.91,High Risk
240,68,519684,230577,68227,67739,0.64,2,0.3,Low Risk
241,36,1180084,245845,274706,207218,0.71,8,1.12,High Risk
242,53,995657,168802,151422,205730,0.75,9,0.9,High Risk
243,29,1667229,780473,161139,119450,0.74,1,0.21,Low Risk
244,26,296774,169815,177790,105925,0.8,0,1.05,High Risk
245,36,1821395,463103,143480,123582,0.83,9,0.31,High Risk
246,49,1381306,813329,605938,516741,0.92,2,0.75,Medium Risk
247,23,1011582,427615,190044,139279,0.35,2,0.44,Low Risk
248,40,1917251,661700,485249,264780,0.84,0,0.73,Medium Risk
249,56,1922139,932541,1004305,702704,0.62,6,1.08,High Risk
250,39,321159,737639,796459,75035,0.53,8,1.08,High Risk
251,46,238649,420584,405719,35263,0.39,0,0.96,High Risk
252,23,894783,498140,496243,208645,0.9,7,1.0,High Risk
253,39,394689,710598,467917,155396,0.97,2,0.66,Medium Risk
254,40,482536,216344,228290,168697,0.62,4,1.06,High Risk
255,52,1385691,165613,101649,178736,0.93,2,0.61,Medium Risk
256,27,982922,241496,79492,66249,0.44,0,0.33,Low Risk
257,61,741155,203022,220836,237429,0.83,8,1.09,High Risk
258,53,593573,993878,601799,54473,0.8,7,0.61,High Risk
259,60,1142333,526879,400882,291911,0.51,8,0.76,High Risk
260,59,589018,981813,774795,161094,0.53,7,0.79,High Risk
261,38,889318,236143,44983,123620,0.65,6,0.19,High Risk
262,60,226279,403212,197324,56269,0.47,6,0.49,High Risk
263,21,1409115,606603,300069,336314,0.83,8,0.49,High Risk
264,31,827156,295596,262606,243681,0.95,3,0.89,Medium Risk
265,48,1041563,475322,401624,380584,0.79,3,0.84,Medium Risk
266,45,503596,995714,1182724,48690,0.37,7,1.19,High Risk
267,43,1474775,666999,603074,369156,0.65,4,0.9,High Risk
268,51,1186449,408258,140848,285932,0.57,5,0.34,Low Risk
269,50,720242,417438,200500,162502,0.46,4,0.48,Low Risk
270,62,1587575,214106,60755,296703,0.54,0,0.28,Low Risk
271,55,1930632,881816,924326,765147,0.31,1,1.05,High Risk
272,27,1244249,151391,156004,383764,0.53,8,1.03,High Risk
273,36,722839,552040,609974,221471,0.97,2,1.1,High Risk
274,46,437619,813295,671562,134144,0.81,4,0.83,Medium Risk
275,68,1574332,812860,321688,133033,0.65,7,0.4,High Risk
276,69,1732165,617177,670467,169497,0.88,8,1.09,High Risk
277,22,751866,646445,258563,81227,0.79,6,0.4,High Risk
278,21,1774772,121096,63270,302424,0.86,9,0.52,High Risk
279,68,1346635,506275,62808,240286,0.96,7,0.12,High Risk
280,32,662398,229496,168863,92911,0.65,3,0.74,Medium Risk
281,25,650083,704715,408119,140928,0.82,1,0.58,Low Risk
282,57,803656,986929,802066,249215,0.75,8,0.81,High Risk
283,52,1463945,209808,244371,191719,0.89,4,1.16,High Risk
284,29,613936,521199,84960,67177,0.96,1,0.16,Low Risk
285,61,594841,633271,127053,225676,0.67,0,0.2,Low Risk
286,55,297543,166574,120021,30055,0.48,4,0.72,Medium Risk
287,39,369258,759807,910007,141440,0.96,5,1.2,High Risk
288,68,684556,458700,191183,199537,0.9,4,0.42,Low Risk
289,36,1154658,256922,177300,313773,0.6,0,0.69,Medium Risk
290,23,927250,428489,138866,309816,0.72,8,0.32,High Risk
291,40,627373,462152,315514,46683,0.58,0,0.68,Medium Risk
292,44,1172565,252066,76049,122565,0.83,6,0.3,High Risk
293,53,1004303,798401,235393,77325,0.76,7,0.29,High Risk
294,44,1640462,300428,141968,491869,0.84,5,0.47,Low Risk
295,31,575105,943876,1069959,42030,0.81,0,1.13,High Risk
296,69,517797,155948,128717,26131,0.96,0,0.83,Medium Risk
297,28,602324,814905,414656,51621,0.82,0,0.51,Low Risk
298,56,669085,662965,532056,57539,0.72,4,0.8,Medium Risk
299,58,1626118,969604,309737,105623,0.42,3,0.32,Low Risk
300,60,939166,816179,653934,178339,0.36,1,0.8,Medium Risk
301,40,1807848,438960,488244,637305,0.97,4,1.11,High Risk
302,55,1200744,842675,952758,371932,0.83,6,1.13,High Risk
303,68,1985776,227186,169282,626302,0.95,6,0.75,High Risk
304,45,1574198,676946,722678,104876,0.3,3,1.07,High Risk
305,55,456515,723133,380396,123674,0.91,8,0.53,High Risk
306,45,1918369,303892,326423,341227,0.64,0,1.07,High Risk
307,49,1739849,454960,212732,685077,0.8,7,0.47,High Risk
308,38,1711773,515215,450015,209408,0.42,9,0.87,High Risk
309,66,368671,498650,553901,46495,0.53,2,1.11,High Risk
310,38,1914754,588501,424610,176690,0.92,4,0.72,Medium Risk
311,22,206984,981969,394793,54116,0.55,9,0.4,High Risk
312,55,1052718,348956,302798,240613,0.87,6,0.87,High Risk
313,36,443138,663312,148606,65424,0.4,7,0.22,High Risk
314,61,467738,65322,31376,122836,0.39,3,0.48,Low Risk
315,56,1441908,50807,55149,314644,0.85,8,1.09,High Risk
316,53,1458914,927950,845095,345755,0.62,2,0.91,High Risk
317,24,600387,910777,145823,91704,0.39,9,0.16,High Risk
318,53,1501827,263902,192954,401638,0.36,2,0.73,Medium Risk
319,34,1103007,822194,306705,404997,0.55,4,0.37,Low Risk
320,41,1989541,250093,28730,206119,0.96,4,0.11,Low Risk
321,68,1299146,407125,160444,74607,0.92,0,0.39,Low Risk
322,40,579435,917169,872576,201753,0.55,3,0.95,High Risk
323,28,819638,361316,196053,269870,0.47,7,0.54,High Risk
324,27,1170427,227592,89315,158756,0.38,6,0.39,High Risk
325,23,1901606,186886,224041,645586,0.72,5,1.2,High Risk
326,37,844076,747171,548909,242780,0.46,5,0.73,Medium Risk
327,53,1835269,800946,275652,604509,0.9,5,0.34,Low Risk
328,68,1360182,607758,196425,502865,0.35,8,0.32,High Risk
329,32,262653,287448,61406,47806,0.36,1,0.21,Low Risk
330,42,1652002,445571,344377,547301,0.38,3,0.77,Medium Risk
331,42,1570100,360469,384705,470230,0.36,5,1.07,High Risk
332,66,1160109,105753,110609,293442,0.91,7,1.05,High Risk
333,50,301791,579140,656676,114309,0.73,3,1.13,High Risk
334,58,844886,480600,60265,238364,0.64,0,0.13,Low Risk
335,58,886185,631088,452771,226246,0.89,3,0.72,Medium Risk
336,65,320996,843210,934755,81451,0.66,4,1.11,High Risk
337,28,1630141,557791,608176,424797,0.97,4,1.09,High Risk
338,47,1985177,573295,228214,722276,0.38,8,0.4,High Risk
339,47,1848101,669877,436853,276740,0.65,9,0.65,High Risk
340,54,1865014,855999,175931,554883,0.98,3,0.21,Low Risk
341,41,280202,304675,122361,34198,0.34,2,0.4,Low Risk
342,50,1233585,678691,808443,176799,0.85,2,1.19,High Risk
343,53,674964,755794,562015,188448,0.82,7,0.74,High Risk
344,48,1070698,220893,264767,247444,0.9,3,1.2,High Risk
345,67,528535,78948,9331,193902,0.89,7,0.12,High Risk
346,53,1323470,203715,238039,372261,0.75,8,1.17,High Risk
347,25,775105,703302,344129,148585,0.42,8,0.49,High Risk
348,68,1842438,663613,126888,179088,0.36,1,0.19,Low Risk
349,39,459972,717607,142464,36437,0.79,5,0.2,Low Risk
350,24,1553652,264702,126607,347951,0.54,4,0.48,Low Risk
351,55,525548,242020,150306,132306,0.99,4,0.62,Medium Risk
352,69,220071,587897,113934,48219,0.37,1,0.19,Low Risk
353,37,1724828,861871,893499,347924,0.8,6,1.04,High Risk
354,64,637544,463328,294023,153435,0.82,7,0.63,High Risk
355,48,1826558,73079,36643,355589,0.5,3,0.5,Low Risk
356,50,460575,935817,630429,33238,0.97,3,0.67,Medium Risk
357,49,1773597,307138,195431,178881,0.77,8,0.64,High Risk
358,66,1833991,580819,123997,166511,0.77,9,0.21,High Risk
359,26,1939625,524665,81395,331650,0.62,8,0.16,High Risk
360,55,1948225,985766,834413,146387,0.44,1,0.85,Medium Risk
361,61,278345,795784,506445,43883,0.61,2,0.64,Medium Risk
362,57,1487850,802163,101837,121093,0.74,0,0.13,Low Risk
363,44,1393334,259148,215985,328449,0.31,2,0.83,Medium Risk
364,49,1317610,343939,301371,490084,0.58,2,0.88,Medium Risk
365,69,307620,669413,781219,86992,0.82,2,1.17,High Risk
366,66,1908653,893608,708657,151393,0.91,1,0.79,Medium Risk
367,51,1515574,915731,368603,103382,0.81,7,0.4,High Risk
368,55,300162,359769,130445,97362,0.85,4,0.36,Low Risk
369,53,1095219,203751,122908,83285,0.85,5,0.6,Medium Risk
370,41,476502,645874,130212,177941,0.44,6,0.2,High Risk
371,52,1663649,86685,55963,209778,0.99,7,0.65,High Risk
372,43,1742609,791011,364366,384280,0.5,5,0.46,Low Risk
373,53,412192,536765,543668,85907,0.85,9,1.01,High Risk
374,23,991392,999756,864231,326964,0.39,0,0.86,Medium Risk
375,38,1153787,361347,138159,199763,0.61,9,0.38,High Risk
376,45,1275152,739910,463456,196002,0.7,9,0.63,High Risk
377,62,291909,936029,831717,67716,1.0,2,0.89,Medium Risk
378,51,1947476,247542,71871,418008,0.74,9,0.29,High Risk
379,23,771705,490904,572351,255120,0.51,4,1.17,High Risk
380,60,1742263,531529,106776,572295,0.88,2,0.2,Low Risk
381,66,481556,342513,393407,121957,0.4,0,1.15,High Risk
382,44,1346336,513443,60771,529429,0.93,6,0.12,High Risk
383,52,1832155,491154,310310,628943,0.54,4,0.63,Medium Risk
384,67,291255,241947,100885,40934,0.62,0,0.42,Low Risk
385,42,1507333,787778,917299,106602,0.59,3,1.16,High Risk
386,43,597447,404415,421030,159410,0.4,5,1.04,High Risk
387,22,940428,368566,402777,117398,0.61,3,1.09,High Risk
388,47,993953,403291,258459,275889,0.43,0,0.64,Medium Risk
389,62,1110247,491129,106271,117448,0.84,6,0.22,High Risk
390,22,997781,689445,256386,342678,0.56,5,0.37,Low Risk
391,46,1805632,955954,653878,286077,0.72,1,0.68,Medium Risk
392,37,699788,880695,464890,93576,0.95,0,0.53,Low Risk
393,60,1311561,311022,143206,221096,0.75,9,0.46,High Risk
394,53,731899,245063,106132,227063,0.69,8,0.43,High Risk
395,29,1791876,143638,51362,465740,0.99,5,0.36,Low Risk
396,63,1205558,117208,81075,86070,0.39,0,0.69,Medium Risk
397,68,701907,419533,359559,61931,0.63,0,0.86,Medium Risk
398,59,1560445,725378,623972,530975,0.54,6,0.86,High Risk
399,49,1774412,274405,40925,451633,0.48,9,0.15,High Risk
400,62,1863161,662488,85887,284996,0.8,3,0.13,Low Risk
401,46,345060,427295,83731,58578,0.67,3,0.2,Low Risk
402,55,819017,370627,44296,148589,0.98,5,0.12,Low Risk
403,45,1965122,926479,541481,150187,0.44,9,0.58,High Risk
404,44,1525217,719246,114387,223377,0.47,5,0.16,Low Risk
405,33,1641057,680100,393910,254382,0.78,3,0.58,Low Risk
406,27,1975517,935064,440032,760787,0.75,0,0.47,Low Risk
407,56,1469793,96475,15867,154649,0.83,4,0.16,Low Risk
408,65,601055,332394,64222,68210,0.67,1,0.19,Low Risk
409,40,1733524,583619,554027,615360,0.97,4,0.95,High Risk
410,21,762745,177790,159459,283014,0.89,2,0.9,High Risk
411,28,1103016,902977,374504,342354,0.69,0,0.41,Low Risk
412,66,1881160,730264,177355,182345,0.96,5,0.24,Low Risk
413,36,1221224,877866,431886,253791,0.65,5,0.49,Low Risk
414,34,1901783,517739,327413,467782,0.32,6,0.63,High Risk
415,32,786264,896186,599700,190500,0.7,5,0.67,Medium Risk
416,43,1783139,967669,122935,547066,0.8,1,0.13,Low Risk
417,35,1286727,709039,539657,293072,0.58,0,0.76,Medium Risk
418,48,758461,470520,373193,213474,0.89,0,0.79,Medium Risk
419,54,1459633,636562,513858,572430,0.38,5,0.81,Medium Risk
420,22,1080232,81415,64237,145718,0.67,0,0.79,Medium Risk
421,52,1030044,827864,954118,168122,0.89,5,1.15,High Risk
422,43,1788824,255186,224759,223791,0.31,8,0.88,High Risk
423,42,990970,171394,76887,138577,0.76,0,0.45,Low Risk
424,45,1277285,571443,567644,146052,0.32,8,0.99,High Risk
425,42,1381787,167324,96190,179168,0.45,3,0.57,Low Risk
426,42,628662,945408,157372,216043,0.66,8,0.17,High Risk
427,69,367634,564273,459159,56431,0.67,5,0.81,Medium Risk
428,62,1398751,577325,300488,526600,0.88,6,0.52,High Risk
429,26,486576,834079,936974,171397,0.61,4,1.12,High Risk
430,35,1679162,186160,88603,151250,0.5,6,0.48,High Risk
